MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_26.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	44
LIMIT-FIT-SIGMA-XY-MAX	172
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	64
LIMIT-FIT-BGD-MAX	65
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	247	247	247	248	248	249	249	249	249	250	250	250	250	251	251	251	251	252	252	252	252	253	253	253	254	254	254	254	254	254	255	255	255	256	256	256	256	257	257	257	257	258	258	258	258	258	259	259	259	259	260	260	260	260	260	261	261	261	261	261	261	261	261	261	261	261	261	261	261	261	261	260	260	260	260	260	259	259	259	259	259	259	258	258	258	258	258	258	258	258	257	257	257	257	256	256	256	256	255	255	255	254	254	253	252	252	251	251	250	250	250	249	249	249	248	248	247	247	246	246	245	245	244	244	243	243	242	242	241	240	240	239	239	238	238	237	237	237	236	236	235	235	234	234	233	233	232	232	231	230	230	229	229	228	228	227	227	226	226	225	225	224	224	223	223	222	221	221	220	220	219	219	218	218	217	217	216	216	215	215	214	214	213	213	212	212	211	211	210	210	209	209	208	208	207	207	206	206	205	205	204	204	203	203	203	202	201	201	200	200	200	200	199	199	199	198	198	198	197	197	197	197	196	196	196	196	195	195	195	195	194	194	194	193	193	193	193	193	192	192	192	192	191	191	191	191	191	191	191	191	190	190	190	190	190	190	190	190	190	190	190	191	191	191	191	191	191	191	192	192	192	192	192	193	193	193	194	194	195	195	196	196	197	197	198	198	199	199	200	200	201	201	202	202	203	204	204	205	205	206	206	206	207	207	208	208	208	208	209	209	210	210	210	210	210	211	211	211	211	211	212	212	212	212	212	212	212	212	212	212	212	212	212	212	212	212	212	212	212	212	212	211	211	211	211	211	210	210	209	209	209	208	208	207	207	206	206	205	205	205	204	204	203	203	202	202	201	201	200	200	200	199	199	199	198	198	197	197	196	196	195	195	195	194	194	193	193	193	193	193	192	192	192	192	192	192	192	192	192	193	193	193	193	193	193	194	194	194	194	194	195	195	195	195	195	196	196	196	196	196	196	197	197	197	197	197	198	198	198	199	199	200	200	200	200	201	201	201	202	202	202	203	203	203	204	204	204	205	205	205	206	206	206	207	207	207	208	208	209	209	209	209	210	210	210	210	211	211	211	212	212	212	213	213	213	213	214	214	215	215	215	216	216	217	217	218	219	219	220	220	221	221	222	222	223	223	224	224	225	225	226	226	227	227	228	228	229	229	230	230	231	231	232	232	233	233	234	234	235	235	236	236	236	237	237	237	238	238	238	239	239	239	239	240	240	240	240	240	240	241	241	241	241	242	242	242	242	242	242	243	243	243	243	243	243	244	244	244	244	244	245	245	245	245	245	245	245	246	246	246	246	246	246	246	246	246	246	246	246	246	246	246	246	246	246	246	246	246	246	246	246	246	246	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	END
Y_POS	102	102	102	101	101	101	100	100	100	100	99	99	99	99	98	98	98	98	97	97	96	96	96	95	95	95	94	94	94	93	93	93	92	92	92	91	91	91	90	90	90	90	89	89	89	88	88	88	87	87	87	86	86	85	85	85	84	84	83	83	82	82	81	81	80	80	79	79	78	78	78	77	77	76	76	76	75	75	74	74	74	73	73	73	72	72	72	71	71	70	70	70	70	69	69	68	68	68	68	67	67	67	67	67	66	66	66	66	66	66	65	65	65	65	65	65	65	65	65	65	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	63	63	63	64	64	64	64	64	65	65	65	66	66	66	67	67	67	67	68	68	68	68	69	69	69	69	70	70	70	70	70	71	71	71	72	72	72	72	73	73	73	74	74	74	75	75	76	76	76	77	77	78	78	79	79	80	80	81	81	81	82	82	82	83	83	83	84	84	84	85	85	86	86	86	87	87	87	87	87	88	88	88	88	88	88	88	88	88	89	89	89	89	89	89	89	89	89	89	89	89	89	89	90	90	90	90	91	91	91	91	92	92	92	93	93	94	94	94	95	95	95	96	96	97	97	98	98	99	99	100	100	101	101	102	102	103	103	103	104	104	105	105	105	105	106	106	106	106	106	106	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	108	108	108	108	108	108	108	109	109	109	109	109	110	110	110	111	111	112	112	112	113	113	113	114	114	115	115	116	116	117	117	117	118	118	119	119	119	120	120	120	121	121	121	122	122	122	122	123	123	123	124	124	124	125	125	125	126	126	126	126	127	127	127	128	128	128	128	129	129	129	130	130	130	130	130	131	131	131	131	132	132	132	132	132	132	133	133	133	133	133	134	134	134	134	135	135	135	135	136	136	136	136	136	136	137	137	137	137	137	137	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	137	137	137	137	136	136	136	135	135	134	134	134	133	133	133	132	132	132	132	131	131	131	130	130	130	129	129	128	128	128	128	127	127	126	126	126	125	125	124	124	124	123	123	123	122	122	121	121	121	120	120	119	119	118	118	117	117	116	116	115	115	115	114	114	113	113	112	112	112	111	111	110	110	109	109	108	108	107	107	106	106	105	105	104	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	1.0772e+06	88.5548	629	132	75	220	0	88.5548	64	44	0	17432.9	5982.51	0	292257	346.377	291.871	0	0	816.438	1024.9	1
180	2.4806e+06	55.047	366	161	75	220	0	55.047	64.2156	85.1459	0	17538	6083	0	516491	349.184	326.466	0	180	826.104	1023.06	0.998202
360	3.0644e+06	251.918	340	0	75	220	0	251.918	64	44	0	17538	6007.91	0	437551	318.075	364.533	0	360	816.834	1021.22	0.996406
540	935173	76.8788	468	0	75	220	0	76.8788	64	44	0	17380	5925	0	221694	277.385	324.381	0	540	792.89	1019.38	0.994615
720	3.55271e+06	57.307	175	1	75	220	0	57.307	65	101.285	0	17380	6083	0	588556	310.272	343.718	0	720	821.611	1017.55	0.992826
900	1.91562e+06	36.9957	476	0	75	220	0	36.9957	64	91.6717	0	17380	6083	0	266660	292.439	370.69	0	900	820.014	1015.72	0.99104
1080	1.22672e+06	100.847	328	77	75	220	0	100.847	64	44	0	17538	6004.15	0	184233	352.334	265.383	0	1080	826.856	1013.89	0.989258
1260	2.05782e+06	169.17	428	0	75	220	0	169.17	64	44	0	17538	6007.15	0	201294	349.691	326.632	0	1260	826.596	1012.07	0.987479
1440	5.31648e-09	4.37058e-13	169	22	75	220	0	4.37058e-13	64	44	0	17380	5925	0	360800	307.831	271.284	0	1440	813.54	1010.25	0.985703
1620	2.27889e+06	187.343	467	0	75	220	0	187.343	65	44	0	17538	6008.44	0	906249	298.519	338.354	0	1620	821.751	1008.43	0.983931
1800	3.80682e+06	312.952	1194	5	75	220	0	312.952	64	44	0	17482.6	5931.83	0	192770	287.083	309.78	0	1800	812.488	1006.62	0.982161
1980	2.12356e+06	174.573	457	41	75	220	0	174.573	64	44	0	17538	6081.06	0	226348	279.412	365.248	0	1980	805.617	1004.81	0.980395
2160	1.47516e+07	147.652	685	275	75	220	0	147.652	64	137.923	0	17380	6083	0	1.30733e+06	206.965	339.696	0	2160	801.967	1003	0.978632
2340	1.07942e+07	83.9361	565	8	75	220	0	83.9361	65	172	0	17380	6083	0	814049	221.951	345.506	0	2340	804.394	1001.2	0.976872
2520	625563	51.4264	183	0	75	220	0	51.4264	64	44	0	17384.3	6083	0	279261	310.56	365.24	0	2520	802.226	999.398	0.975115
2700	211056	17.3505	394	77	75	220	0	17.3505	64	44	0	17510	6083	0	410068	277.897	363.551	0	2700	832.996	997.601	0.973361
2880	6.55442e+07	602	4287	1275	75	220	0	602	64	147.653	0	17381.2	5960.13	0	2.63915e+06	263.114	292.577	0	2880	798.694	995.807	0.971611
3060	1.07055e+06	88.008	667	19	75	220	0	88.008	64	44	0	17380	6011.34	0	193899	289.226	280.409	0	3060	807.372	994.016	0.969863
3240	7.39609e+07	789.951	6427	972	87	217	0	789.951	65	131.458	0	17205.1	6917.01	0	2.04684e+06	314.692	277.328	0	3240	809.645	992.228	0.968119
3420	3.4299e+07	288.221	1728	424	87	217	0	288.221	64	159.548	0	17301	7031	0	1.39268e+06	385.056	403.571	0	3420	823.881	990.444	0.966378
3600	0.00119152	9.79525e-08	189	53	87	217	0	9.79525e-08	64	44	0	17143	7031	0	459681	237.461	393.003	0	3600	818.489	988.663	0.96464
3780	1.52701e+07	183.041	377	16	87	217	0	183.041	64	121.412	0	17301	7031	0	1.00771e+06	361.608	412.219	0	3780	808.663	986.885	0.962905
3960	3.36902e+07	333.916	1119	0	87	217	0	333.916	64	138.962	0	17271.3	7031	0	2.55321e+06	357.932	452.726	0	3960	802.683	985.11	0.961174
4140	1.73921e+07	163.176	377	0	87	217	0	163.176	64	145.103	0	17301	7031	0	872091	447.765	358.8	0	4140	814.612	983.338	0.959445
4320	6.30195e+07	662.04	4808	787	88	219	0	662.04	64.0001	133.044	0	17389.1	7064.33	0	1.03964e+06	315.802	330.305	0	4320	813.274	981.57	0.95772
4500	4.35354e+06	259.684	885	68	88	219	0	259.684	65	51.6548	0	17301	7094.77	0	1.6125e+06	420.282	326.585	0	4500	821.57	979.805	0.955997
