MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_34.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	22
LIMIT-FIT-SIGMA-XY-MAX	160
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	75
LIMIT-FIT-BGD-MAX	76
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	245	246	247	247	248	249	250	251	251	252	253	253	254	255	255	256	257	257	258	259	259	260	261	262	263	263	264	265	265	265	266	266	266	266	266	266	266	266	266	266	266	266	266	266	265	265	265	265	265	265	265	265	265	265	265	265	265	265	264	264	264	264	264	264	264	263	263	263	263	263	263	263	262	262	262	262	262	262	262	262	262	262	262	262	262	262	262	262	262	262	262	262	262	262	262	262	262	262	261	261	261	261	261	260	260	260	260	259	259	259	259	259	259	259	258	258	258	257	257	257	257	257	256	256	255	255	255	255	254	254	254	253	253	253	253	253	252	252	252	251	251	251	250	249	248	247	246	245	244	244	243	242	241	240	239	239	238	237	237	236	235	234	233	232	231	230	229	228	227	226	225	224	223	223	222	221	220	219	218	217	216	215	215	214	213	213	212	211	211	210	210	209	209	208	208	207	207	207	206	205	205	205	204	203	203	202	202	201	201	200	199	199	199	199	199	198	198	198	198	197	197	197	197	197	197	197	197	196	196	196	195	195	195	195	195	195	195	195	195	195	195	195	195	195	195	196	196	197	197	197	197	197	198	198	199	199	199	199	199	200	200	200	200	201	201	201	201	201	201	201	201	202	202	202	203	203	203	203	203	203	204	204	204	204	204	205	205	205	205	206	206	207	207	207	208	208	209	209	209	210	211	211	212	212	213	213	214	215	215	215	216	216	217	217	217	218	218	219	219	220	220	221	221	221	222	222	222	223	223	223	224	224	225	225	225	226	227	227	227	228	229	229	230	230	231	END
Y_POS	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	361	361	361	360	360	360	360	360	359	359	359	358	358	358	357	357	357	356	356	356	355	355	354	354	353	352	352	352	351	350	350	349	348	347	346	345	344	343	342	341	340	339	338	337	337	336	335	334	333	332	331	330	329	328	327	326	325	324	324	323	322	321	320	319	318	318	317	316	315	314	313	312	311	310	309	308	307	306	305	304	303	302	301	300	299	298	297	296	295	294	293	292	291	290	289	288	287	286	286	285	284	283	282	282	281	280	279	278	277	276	275	274	273	272	271	270	269	269	268	267	266	265	265	264	263	262	261	260	259	258	257	256	255	254	253	252	252	251	250	250	249	248	248	248	248	248	248	248	248	247	247	246	246	245	245	244	244	244	243	243	243	243	243	243	243	243	243	243	243	243	243	243	243	244	244	244	244	244	244	244	244	244	245	245	245	246	246	246	247	247	248	248	249	249	250	250	251	252	252	252	253	254	254	254	255	255	256	256	257	258	258	259	260	261	262	263	264	265	266	266	267	268	269	270	271	272	273	274	275	276	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	297	298	298	299	300	301	302	302	303	304	305	305	306	307	308	309	310	311	312	312	313	314	314	315	316	317	318	319	319	320	321	322	323	323	324	325	326	327	328	328	329	330	330	331	332	333	334	334	335	336	337	338	338	339	340	340	341	342	342	343	343	344	345	345	346	346	347	347	348	348	349	350	350	351	352	352	353	354	355	356	356	357	358	358	358	359	360	360	360	361	361	362	362	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	2.88302e+06	947.999	1503	25	270	236	0	947.999	75	22.0004	0	18735.3	21484.6	0	447740	355.602	306.511	0	0	711.597	936.626	1
180	1.79369e+06	589.822	906	0	270	236	0	589.822	75	22	0	18756.1	21330	0	312299	295.483	261.724	0	180	721.987	934.942	0.998202
360	2.33301e+06	767.165	679	237	270	236	0	767.165	76	22.0001	0	18680.6	21413	0	780047	315.963	252.55	0	360	706.874	933.261	0.996406
540	7.12112e+07	1065.32	7544	1206	270	236	0	1065.32	76	105.798	0	18744.4	21410	0	2.81285e+06	346.432	294.813	0	540	710.716	931.582	0.994615
720	1.48163e+07	206.145	1739	356	270	236	0	206.145	75	110.482	0	18705.4	21482.3	0	501802	286.786	328.943	0	720	719.438	929.907	0.992826
900	8.66677e+06	136.117	1266	0	270	236	0	136.117	75	102.846	0	18755.8	21330	0	386356	334.775	278.059	0	900	704.322	928.235	0.99104
1080	1.21148e+06	143.357	478	19	270	236	0	143.357	75	36.674	0	18730.4	21330	0	473061	347.407	239.305	0	1080	698.016	926.565	0.989258
1260	2.69821e+06	887.259	1105	333	270	236	0	887.259	75	22	0	18644	21334	0	526567	328.785	309.291	0	1260	711.684	924.899	0.987479
1440	141948	5.10521	334	0	270	236	0	5.10521	75	66.547	0	18802	21454.9	0	451226	335.196	295.977	0	1440	700.005	923.236	0.985703
1620	1.94555e+06	639.76	697	27	270	236	0	639.76	76	22	0	18802	21407	0	525149	324.691	315.051	0	1620	677.465	921.575	0.983931
1800	914754	300.801	663	0	270	236	0	300.801	75	22	0	18802	21409	0	387518	344.012	260.181	0	1800	684.559	919.918	0.982161
1980	7.47625	0.00245339	225	0	270	236	0	0.00245339	75	22.0226	0	18779.2	21468.5	0	329066	315.601	363.57	0	1980	688.617	918.264	0.980395
2160	8.01436e+07	836	6404	930	263	220	0	836	76	133.734	0	17436.6	20865.4	0	1.82332e+06	315.202	317.926	0	2160	681.821	916.612	0.978632
