MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_33.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	112
LIMIT-FIT-SIGMA-XY-MAX	174
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	102
LIMIT-FIT-BGD-MAX	103
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	133	134	134	135	136	136	137	138	139	140	140	141	141	142	142	143	143	144	144	144	145	145	146	146	146	147	147	148	148	148	149	149	150	150	151	152	153	153	154	154	155	155	155	156	156	157	157	158	158	159	159	160	160	160	160	161	161	161	161	161	162	162	162	162	163	163	163	163	163	163	163	164	164	164	164	164	164	164	164	164	164	164	165	165	165	165	165	165	165	165	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	165	165	165	165	165	165	165	164	164	164	164	164	163	163	163	163	163	163	162	162	162	162	162	162	162	161	161	161	161	161	160	160	160	160	159	159	159	158	158	157	157	157	156	156	155	155	154	154	153	153	153	152	152	151	151	150	150	149	149	148	148	147	147	146	146	145	145	144	144	143	143	143	142	142	141	141	140	140	140	140	139	139	139	139	139	139	139	139	139	138	138	138	138	138	138	138	138	138	138	138	137	137	136	136	135	135	135	134	134	133	133	133	132	132	131	131	130	130	129	129	128	128	127	127	126	126	125	125	124	124	123	123	122	122	122	121	121	120	120	119	119	118	118	118	117	117	117	117	116	116	116	115	115	115	114	114	113	113	113	112	112	112	111	111	111	110	110	109	109	108	108	108	108	107	107	107	106	106	106	106	106	105	105	105	105	105	105	104	104	104	104	103	103	103	103	103	103	103	103	102	102	102	102	102	102	102	102	102	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	102	102	102	102	102	103	103	103	103	103	103	103	104	104	104	104	105	105	105	105	106	106	106	107	107	108	108	109	109	110	110	111	111	111	112	112	112	112	113	113	114	114	115	115	116	116	116	117	117	118	118	119	119	120	120	121	121	121	122	122	123	123	124	124	124	125	125	126	126	126	127	127	128	128	128	129	129	129	130	130	131	131	131	131	132	132	132	132	132	132	133	133	END
Y_POS	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	315	315	315	315	315	314	314	314	314	313	313	313	312	312	311	311	311	311	311	311	311	311	310	310	310	310	310	309	309	309	308	308	307	307	307	306	306	306	305	305	304	304	303	303	303	302	302	302	301	301	300	300	300	299	299	298	298	297	297	296	296	295	295	294	294	293	293	292	292	291	291	290	290	289	289	288	288	287	287	286	286	285	285	284	284	283	283	282	282	281	281	280	280	279	279	278	278	277	277	276	276	275	275	274	274	273	273	272	272	271	271	270	270	269	269	268	268	267	267	266	266	265	265	264	264	263	263	262	262	261	261	260	260	259	259	258	258	257	257	257	256	256	255	255	254	254	253	253	253	252	252	252	251	251	251	250	250	250	249	249	248	248	247	247	246	246	246	245	245	244	244	243	243	243	242	242	242	241	241	241	241	241	241	241	240	240	240	240	240	240	240	240	240	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	239	240	240	240	240	240	240	241	241	241	241	242	242	242	243	243	244	244	245	245	246	246	247	247	248	248	249	249	249	250	250	251	251	251	251	252	252	252	252	252	253	253	253	253	253	253	253	253	253	253	253	253	253	253	253	253	253	252	252	252	252	251	251	251	251	251	251	251	251	251	251	251	252	252	252	252	252	253	253	253	253	253	254	254	254	254	254	255	255	255	255	255	255	256	256	256	256	257	257	258	258	258	259	259	259	260	260	261	261	261	262	262	263	263	263	264	264	265	265	266	266	267	267	268	268	269	269	270	270	270	271	271	272	272	273	273	274	274	274	275	275	276	276	277	278	278	279	280	280	281	282	283	283	284	285	285	286	286	287	287	288	288	289	289	290	290	291	291	291	292	292	292	293	293	294	294	295	295	296	296	296	297	297	298	298	298	299	299	300	300	300	301	301	301	302	302	302	302	302	303	303	303	303	303	303	303	303	304	304	304	304	304	304	304	305	305	305	305	305	305	305	306	306	306	306	306	307	307	307	307	307	308	308	308	308	309	309	309	309	310	310	310	310	311	311	311	311	312	312	312	313	313	313	313	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	2.59656e+08	2364.23	18760	2204	255	148	0	2364.23	102	148.723	0	11773.4	20175.6	0	5.36114e+06	323.524	273.808	0	0	1216.1	1589.36	1
180	4.04196e+08	3954.99	28694	4480	255	148	0	3954.99	103	140.348	0	11757.1	20272.1	0	6.50287e+06	306.266	353.884	0	180	1243.26	1586.5	0.998202
360	5.87205e+08	5150.34	38684	4072	253	149	0	5150.34	102.001	153.548	0	11874.7	20063.5	0	1.23661e+07	329.843	315.602	0	360	1254.74	1583.65	0.996406
540	4.25105e+08	4279.83	31065	3840	255	149	0	4279.83	103	137.315	0	11856.7	20193.2	0	9.57203e+06	326.776	296.17	0	540	1267.27	1580.8	0.994615
720	4.43563e+08	4070.35	29549	4347	253	151	0	4070.35	103	147.762	0	12038	20045.2	0	6.77838e+06	336.886	306.524	0	720	1276.71	1577.96	0.992826
900	4.66738e+08	3690.57	28080	3470	251	151	0	3690.57	102	169.117	0	12006.6	19882.4	0	1.50334e+07	316.303	301.926	0	900	1253.89	1575.12	0.99104
1080	4.73933e+08	3644.29	26449	4017	252	158	0	3644.29	103	174	0	12516.5	19961.3	0	1.2864e+07	291.696	301.761	0	1080	1263.73	1572.29	0.989258
1260	5.19026e+08	4725.57	35027	4882	249	154	0	4725.57	103	148.731	0	12273	19734.6	0	8.25879e+06	335.95	308.153	0	1260	1281.24	1569.46	0.987479
1440	7.81977e+08	6323.79	48094	5954	251	156	0	6323.79	102	165.422	0	12427.2	19842.9	0	1.70173e+07	333.479	272.052	0	1440	1284.33	1566.64	0.985703
1620	6.87034e+08	5282.92	42729	5753	254	147	0	5282.92	102	174	0	11746.4	20190.8	0	4.32979e+07	354.613	351.847	0	1620	1224.48	1563.82	0.983931
1800	9.78284e+08	7654.66	57274	9191	250	148	0	7654.66	103	170.913	0	11789.4	19881.3	0	3.05405e+07	326.937	351.678	0	1800	1246.45	1561.01	0.982161
1980	6.39606e+08	4918.22	34170	4303	249	151	0	4918.22	103	174	0	12009.5	19768.1	0	1.661e+07	317.826	328.009	0	1980	1238.39	1558.2	0.980395
2160	6.28793e+08	4835.08	34620	4542	255	154	0	4835.08	103	174	0	12253.4	20229.3	0	2.22933e+07	321.867	317.52	0	2160	1245.86	1555.4	0.978632
2340	8.92615e+08	6915.82	53663	6773	258	154	0	6915.82	102	172.643	0	12276.6	20458.8	0	1.15986e+07	335.89	314.531	0	2340	1257.7	1552.6	0.976872
2520	7.04703e+08	6022.46	44545	5942	273	149	0	6022.46	102	157.121	0	11850	21596.8	0	1.06903e+07	315.789	282.7	0	2520	1268.43	1549.81	0.975115
2700	5.02363e+08	4544.92	34103	5764	264	151	0	4544.92	102.999	149.525	0	12030.1	20921.4	0	8.48505e+06	336.84	304.622	0	2700	1272.01	1547.02	0.973361
2880	4.2431e+08	4645.09	31823	4556	271	153	0	4645.09	103	129.168	0	12152	21523.2	0	1.06904e+07	303.404	338.585	0	2880	1267.43	1544.24	0.971611
3060	4.05968e+08	3758.04	28608	3889	269	150	0	3758.04	102	146.701	0	11921	21296.3	0	8.98122e+06	302.866	285.295	0	3060	1236.65	1541.46	0.969863
3240	6.79021e+08	5221.3	40397	5258	266	151	0	5221.3	103	174	0	11985.1	21096.2	0	4.23124e+07	294.621	311.641	0	3240	1275.45	1538.69	0.968119
3420	4.29618e+08	4595.4	33825	3715	266	150	0	4595.4	102	131.318	0	11922	21094.4	0	4.58966e+06	307.938	312.658	0	3420	1295.27	1535.92	0.966378
3600	3.14548e+08	2822.61	20978	3259	263	151	0	2822.61	103	150.56	0	12043	20835	0	1.13752e+07	333.057	312.395	0	3600	1281.37	1533.16	0.96464
3780	6.10177e+08	4823.18	39137	5430	267	147	0	4823.18	103	169.172	0	11700.8	21160.3	0	1.29769e+07	324.255	309.925	0	3780	1279.52	1530.4	0.962906
3960	6.25697e+08	4811.27	35570	4760	269	145	0	4811.27	103	174	0	11542.7	21286.1	0	2.13614e+07	320.528	287.958	0	3960	1281.07	1527.65	0.961174
4140	8.29147e+08	7603.97	56009	7713	267	145	0	7603.97	102.99	147.837	0	11530.8	21182.4	0	2.84802e+07	319.051	320.615	0	4140	1296.67	1524.9	0.959445
4320	5.78583e+08	4796.71	37283	5070	273	147	0	4796.71	103	161.558	0	11697.2	21665.5	0	1.84725e+07	323.216	329.019	0	4320	1277.33	1522.16	0.95772
4500	5.93869e+08	5879.9	42242	5060	271	147	0	5879.9	102.003	139.074	0	11654.9	21482.9	0	1.31179e+07	283.931	312.995	0	4500	1311.05	1519.42	0.955997
