MS2-QUANT	v0j
Region DEFINITION, 05-Apr-2021
COMMENT	Outline definition performed in MS2-QUANT (Main program)
FILE	MAX_20201217_RI516_C12MS2128TkTat_001_visit_14.tif
PATH	/Volumes/EBL/20201217/
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	dT	Type
79	600	1.458	488	521	1.4	180	widefield
ANALYSIS-SETTINGS	
IMAGING-BACKGROUND	150
LIMIT-FIT-SIGMA-XY-MIN	19
LIMIT-FIT-SIGMA-XY-MAX	147
LIMIT-FIT-SIGMA-Z-MIN	0
LIMIT-FIT-SIGMA-Z-MAX	0
LIMIT-FIT-BGD-MIN	56
LIMIT-FIT-BGD-MAX	57
DETECTION-THRESHOLD	500
REGION	TxSite
X_POS	91	90	90	90	89	89	88	88	87	87	86	86	86	86	85	85	85	85	84	84	84	84	83	83	83	82	82	81	81	80	80	79	79	78	78	77	77	77	76	76	75	75	74	74	73	73	72	72	71	71	70	70	69	69	68	68	67	67	66	65	65	64	64	63	63	62	62	61	61	60	60	59	59	58	58	57	57	56	56	55	55	54	54	54	53	53	53	53	52	52	51	51	51	51	51	51	50	50	50	50	50	49	49	49	49	49	49	49	49	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	49	49	49	49	49	50	50	50	50	50	51	51	51	51	51	51	52	52	52	52	52	52	53	53	54	54	55	55	56	56	56	57	57	58	59	59	59	60	60	60	61	61	62	63	63	64	64	65	66	67	68	69	70	71	72	72	73	73	73	74	74	75	76	77	77	78	78	78	79	79	79	79	80	80	80	80	81	81	81	81	81	81	81	82	82	82	82	82	83	83	83	83	83	83	84	84	84	84	84	85	85	85	85	85	85	86	86	86	86	86	87	87	87	87	87	88	88	88	88	88	89	89	89	90	90	90	90	90	91	91	91	91	91	92	92	92	92	92	92	92	92	92	92	92	92	92	93	93	93	93	93	93	93	93	93	93	93	93	93	93	94	94	94	94	94	94	94	94	94	95	95	95	95	95	95	95	96	96	96	96	96	96	97	97	97	97	97	98	98	98	98	99	99	99	99	99	100	100	100	100	100	101	101	101	102	102	102	103	103	104	104	104	105	105	106	106	106	107	107	107	107	108	108	108	109	109	110	110	111	112	113	113	114	115	116	116	117	118	119	119	120	121	121	122	122	123	123	124	124	125	125	126	126	126	127	127	128	128	129	130	131	133	134	136	137	137	138	138	138	138	138	138	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	138	138	138	138	137	137	137	137	136	136	136	136	135	135	135	134	134	134	133	133	133	132	132	131	131	130	130	130	129	129	128	128	127	127	127	127	126	126	126	125	125	124	123	123	122	122	122	121	121	120	120	119	119	118	118	117	117	116	115	115	114	114	113	112	112	111	111	110	110	109	109	108	107	106	106	106	105	105	104	102	101	100	100	99	98	98	98	98	98	98	98	97	97	97	96	96	96	96	96	95	95	95	95	95	95	94	94	94	94	94	93	93	93	92	92	92	92	92	91	91	91	91	90	90	90	90	90	89	89	89	89	89	88	88	88	88	87	87	87	87	86	86	86	86	86	86	86	85	85	85	85	85	85	85	85	85	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	85	85	85	85	85	86	86	86	86	86	87	87	87	87	87	87	87	88	88	88	88	89	89	89	89	89	89	89	89	90	90	90	90	90	90	END
Y_POS	152	152	152	151	151	150	149	149	147	147	146	146	146	145	145	145	144	144	144	143	143	143	142	142	141	141	141	140	140	139	139	139	138	138	137	137	137	137	137	137	136	136	136	136	136	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	135	135	135	135	135	135	136	136	136	136	137	137	137	138	138	138	139	139	140	140	141	141	141	142	142	143	143	143	144	144	145	145	146	146	147	148	148	149	149	150	150	151	151	152	152	153	153	154	154	155	155	155	156	156	157	157	158	158	159	159	159	160	160	161	161	161	162	162	162	163	163	163	164	164	165	165	165	165	166	166	166	167	167	167	167	168	168	168	168	169	169	169	169	169	170	170	171	171	172	172	172	173	173	173	173	173	174	174	175	175	176	176	176	177	177	177	178	178	178	179	179	180	180	180	181	181	182	182	183	183	184	184	184	185	185	186	186	187	187	188	188	189	189	190	190	191	192	193	193	194	194	195	195	195	196	196	197	197	198	198	199	199	199	200	200	201	201	202	202	203	204	204	205	205	205	206	206	207	207	208	208	209	209	210	210	211	211	212	212	213	213	214	214	215	215	215	216	216	217	218	219	220	220	221	221	222	222	223	223	223	224	224	225	225	226	226	227	227	227	228	228	228	229	229	230	230	231	231	232	232	232	233	233	233	234	234	235	235	235	236	236	237	237	238	238	238	239	239	239	240	240	240	241	241	242	242	242	243	243	244	244	244	244	245	245	245	245	245	246	246	246	246	246	246	246	247	247	247	247	247	247	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	247	247	247	247	246	246	245	245	244	244	243	243	242	242	242	241	241	240	240	239	239	238	238	237	236	235	235	234	233	233	232	232	231	231	230	230	229	229	228	228	227	227	226	226	226	225	225	224	224	224	224	223	223	223	223	222	222	222	221	221	221	221	221	220	220	220	219	219	219	218	218	218	218	217	217	217	217	216	216	216	216	216	215	215	215	215	215	215	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	213	213	213	213	213	213	213	213	212	212	212	212	212	211	211	210	210	210	209	209	209	208	208	207	207	206	206	205	205	204	204	203	203	203	202	202	201	201	200	200	199	199	198	197	197	197	196	196	195	195	194	194	194	193	193	192	192	191	191	190	190	189	189	188	188	187	187	187	186	186	185	185	184	184	184	183	183	182	182	181	181	181	180	179	179	179	178	178	177	177	176	175	174	174	173	172	172	171	171	170	169	169	168	168	167	167	166	166	165	165	164	164	163	163	163	162	162	162	161	161	161	160	160	159	159	159	158	158	158	157	157	156	155	155	154	153	152	151	END
QUANTIFICATION
Time[s]	Q_Integrate	Q_AMP	Q_Sum_pix	Q_MIP_int	Pix_Y	Pix_X	Pix_Z	AMP	BGD	SigmaXY	SigmaZ	MuY	MuX	MuZ	RES	Cent_Y	Cent_X	Cent_Z	OPB_time	OPB_INT	OPB_FIT	OPB_FIT_norm
0	1.35878e+08	1543.67	10901	1491	157	72	0	1543.67	57	125.88	0	5750.86	12482.8	0	2.69235e+06	299.328	322.184	0	0	730.796	898.45	1
180	1.14941e+08	1061.37	8239	1330	156	69	0	1061.37	57	147	0	5561.3	12381.8	0	1.51827e+06	327.505	311.453	0	180	724.105	896.834	0.998202
360	1.60368e+08	1480.85	10954	1574	163	65	0	1480.85	57	147	0	5185.99	12944	0	3.4509e+06	292.994	308.132	0	360	714.049	895.221	0.996406
540	1.66605e+08	1538.44	10737	1407	163	68	0	1538.44	57	147	0	5462.64	12939.3	0	3.20086e+06	323.857	309.019	0	540	720.437	893.611	0.994615
720	1.00791e+08	1060.23	7461	1305	160	73	0	1060.23	56	132.916	0	5804.4	12702	0	2.21944e+06	275.391	298.093	0	720	724.731	892.004	0.992826
900	2.45501e+08	2542.69	18213	2106	155	80	0	2542.69	57	134.437	0	6384.78	12340.6	0	5.15647e+06	294.436	310.526	0	900	714.361	890.4	0.99104
1080	1.92444e+08	2062.46	14273	2302	157	82	0	2062.46	57	131.136	0	6527.92	12456.7	0	1.61265e+06	291.124	304.807	0	1080	714.36	888.799	0.989258
1260	2.10074e+08	2407.72	16483	2549	158	84	0	2407.72	56	125.123	0	6723.16	12581.1	0	2.05619e+06	322.825	331.134	0	1260	707.464	887.2	0.987479
1440	1.26494e+08	1168.05	8739	862	151	82	0	1168.05	57	147	0	6541.19	12002.9	0	2.63189e+06	300.275	319.753	0	1440	707.44	885.605	0.985703
1620	1.64178e+08	1516.03	10653	1207	155	79	0	1516.03	57	147	0	6319.06	12375	0	2.78136e+06	315.837	354.76	0	1620	703.906	884.012	0.983931
1800	9.75476e+07	900.763	6593	1113	165	78	0	900.763	57	147	0	6223.15	13141.6	0	1.84468e+06	311.434	341.197	0	1800	705.101	882.422	0.982161
1980	1.04909e+08	1190.92	8407	1302	166	82	0	1190.92	57	125.947	0	6612.31	13197	0	2.06091e+06	362.913	322.66	0	1980	695.172	880.835	0.980395
2160	2.25204e+06	775.867	706	0	166	82	0	775.867	57	21.4934	0	6546.76	13114	0	535083	278.986	264.523	0	2160	694.366	879.251	0.978632
2340	8.52374e+07	1040.75	7634	1034	157	78	0	1040.75	56.9999	119.948	0	6210.77	12477.9	0	1.61439e+06	283.171	323.452	0	2340	693.386	877.67	0.976872
2520	4.11788e+07	426.805	2573	353	157	78	0	426.805	56.0001	134.365	0	6320	12505.4	0	1.35726e+06	401.821	327.985	0	2520	694.396	876.092	0.975115
2700	1.54067e+07	149.796	1246	0	157	78	0	149.796	56	141.045	0	6162	12561	0	469421	284.182	364.224	0	2700	687.204	874.516	0.973361
2880	1.74416e+08	1617.32	12125	1509	153	78	0	1617.32	56	146.496	0	6255.84	12191.5	0	2.41598e+06	326.863	335.162	0	2880	708.168	872.943	0.971611
3060	9.0207e+07	832.979	6157	626	156	72	0	832.979	57	147	0	5746.2	12393.9	0	1.72857e+06	302.576	306.912	0	3060	690.244	871.374	0.969863
3240	1.75617e+08	1621.67	11715	1512	149	75	0	1621.67	56	147	0	6006.95	11882.2	0	2.63251e+06	324.674	338.907	0	3240	692.384	869.806	0.968119
3420	9.58024e+07	1114.6	7671	1387	157	73	0	1114.6	56.0001	123.857	0	5894.39	12485	0	2.799e+06	355.439	319.688	0	3420	696.183	868.242	0.966378
